seed,table_row,ie,delta,logNe,logT,logNp,As_pct,Az_deg,R_Rsun,FS_Rsun,H_Rsun,incl_deg,Bbase_G,shift_x,shift_y,Q_total,Qimg_6p77,Qimg_9p69,Qspec
22003,187,0.29430002,4.09600019,7.50750017,8,2.75200009,-56.4799995,63,0.019332001,0.0457549989,0.0994300023,13.8000031,4848.1001,0,0,4.75020409,1.7913326,2.20905948,0.12496873
22003,194,0.273600012,3.48400021,5.57999992,8,0.988000035,10.7200012,-63,0.0191080011,0.0828050077,0.0707400069,-29.2799988,3838.69995,-6,-5,3.58066511,1.39094424,1.81241,0.0628851354
22003,214,0.29430002,4.09600019,7.5,8,0.688000023,62.5599976,26.6399994,0.0137320012,0.0457549989,0.0994300023,13.8000031,4848.1001,5,-5,4.4986968,1.24782157,2.40407681,0.14113307
22003,219,2.00779986,3.21600008,7.88500023,8,1.19200003,64,73.2600098,0.00701200031,0.0406250022,0.0926850066,41.7600098,2202.1001,0,0,5.30160236,1.7716459,2.11187267,0.236347318
22003,249,0.273600012,3.48400021,5.57999992,8,0.988000035,10.7200012,-63,0.0191080011,0.0828050077,0.0707400069,-29.2799988,3838.69995,-6,-5,3.58066511,1.39094424,1.81241,0.0628851354
22003,256,1.01190007,2.86400008,6.34250021,8,2.3920002,64,73.2600098,0.00701200031,0.0410050005,0.0967700034,39.3600082,2750.90015,0,0,4.12292194,1.77307796,2.14876461,0.0335132778
22003,258,0.29430002,4.09600019,7.50750017,8,2.75200009,-56.4799995,63,0.019332001,0.0457549989,0.0994300023,13.8000031,4848.1001,0,0,4.75020409,1.7913326,2.20905948,0.12496873
22003,293,1.26260006,3.3920002,7.88500023,8,1.19200003,64,73.2600098,0.00701200031,0.0406250022,0.0926850066,41.7600098,2202.1001,0,0,4.86712122,1.77285731,2.14136267,0.158816874
22003,313,0.273600012,3.48400021,5.57999992,8,0.988000035,10.7200012,-63,0.0191080011,0.0828050077,0.0707400069,-29.2799988,3838.69995,-6,-5,3.58066511,1.39094424,1.81241,0.0628851354
22003,325,0.273600012,3.48400021,5.57999992,8,0.988000035,10.7200012,-63,0.0191080011,0.0828050077,0.0707400069,-29.2799988,3804.40015,-6,-5,3.60885477,1.38013375,1.81220222,0.0694197863
22003,338,1.21430004,4.09600019,7.50750017,8,2.75200009,-56.4799995,63,0.019332001,0.0457549989,0.0994300023,13.8000031,4848.1001,0,0,4.86789227,1.88522625,2.16415262,0.136418924
22003,346,0.268999994,3.48400021,5.57999992,8,0.988000035,10.7200012,-71.4599991,0.0131160012,0.0874600038,0.0688400045,-29.2799988,3838.69995,5,-6,5.23178482,1.1654017,2.49364328,0.262123257
22003,375,0.268999994,2.86400008,6.34250021,8,2.3920002,64,73.2600098,0.00701200031,0.0410050005,0.0967700034,39.3600082,2750.90015,0,0,4.72984648,1.77454364,2.09976482,0.142589688
22003,378,0.273600012,3.48400021,5.57999992,8,0.988000035,10.7200012,-63,0.0191080011,0.0828050077,0.0707400069,-29.2799988,3838.69995,-6,-5,3.58066511,1.39094424,1.81241,0.0628851354
22003,398,0.273600012,3.48400021,5.57999992,8,0.988000035,10.7200012,-63,0.0191080011,0.0828050077,0.0707400069,-29.2799988,3838.69995,-6,-5,3.58066511,1.39094424,1.81241,0.0628851354
22003,405,1.21430004,4.09600019,7.50750017,8,2.75200009,13.4400101,-71.4599991,0.0131160012,0.0875550061,0.0707400069,-29.2799988,3838.69995,5,-6,4.68126774,1.17536771,2.69369102,0.135368168
22003,416,0.29430002,4.296,6.53499985,8,0.968000054,66.7200012,-63,0.0191080011,0.0828050077,0.0707400069,-29.2799988,3838.69995,5,-6,5.09534359,1.37216306,2.95507932,0.128016889
22003,426,1.21430004,4.09600019,7.50750017,8,2.75200009,-56.4799995,63,0.019332001,0.0457549989,0.0994300023,13.8000031,4848.1001,0,0,4.86789227,1.88522625,2.16415262,0.136418924
22003,431,0.273600012,3.48400021,5.57999992,8,0.988000035,10.7200012,-63,0.0191080011,0.0828050077,0.0707400069,-29.2799988,3838.69995,-6,-5,3.58066511,1.39094424,1.81241,0.0628851354
