seed,recorded_evaluation,ie,delta,logNe,logT,logNp,As_pct,Az_deg,R_Rsun,FS_Rsun,H_Rsun,incl_deg,Bbase_G,shift_x,shift_y,Q_total,Qimg_6p77,Qimg_9p69,Qspec
11001,1,0.631792247,2.73024583,6.20436525,8,0.366841108,7.03031921,-71.0240326,0.0249945167,0.0272538476,0.0897262394,33.9876022,4063.80225,0,0,11.0747643,5.79554272,2.13973737,0.523247421
11001,1,0.800300002,2.0079999,7.36750031,8,1.12,-52.3199997,88.0200043,0.00522000017,0.0825200081,0.0867950097,42.1200027,4916.7002,0,0,10.5290461,1.75771976,2.08789468,1.11390531
11001,1,0.977400064,3.86400008,7.44999981,8,3.42400026,-55.0400009,-52.9199982,0.0180720016,0.0518350005,0.0275150016,-53.4000015,1790.50012,0,0,11.4148312,4.16561747,2.64429832,0.767485797
11001,1,1.03030002,3.32000017,6.59249973,8,2.10800004,-20.3199959,72,0.0162240006,0.0557300039,0.0278000012,15.3600006,3779.90015,0,0,31.638092,24.7880154,4.61038542,0.373281717
11001,1,1.72720015,3.41200018,6.2125001,8,0.716000021,-18.3999977,-14.9399948,0.00662000012,0.0967700034,0.0853700042,-38.0400009,1119.19995,0,0,36.9133148,3.68124056,2.53735948,5.1157856
11001,1,1.52939999,3.71200013,7.55749989,8,2.53600001,-5.27999878,69.6600037,0.0157480016,0.0947750062,0.0943950042,-36.5999985,4745.2002,0,0,23.2743607,13.2941284,4.66350079,0.88612175
11001,1,1.03720009,4.84800005,6.24749994,8,0.272000015,64.6400146,-52.1999969,0.018744003,0.0999050066,0.0718800053,-59.6399994,2138.3999,5,-6,32.0303535,1.33052981,3.19388914,4.58432245
11001,1,0.496699989,3.90799999,6.60500002,8,1.07200003,74.7200165,69.6600037,0.0157480016,0.0947750062,0.0943950042,-36.5999985,4745.2002,0,0,11.7122478,5.23491001,3.44827247,0.504844248
11001,1,1.03720009,4.84800005,6.24749994,8,0.252000004,-15.0399933,-41.0399971,0.026556002,0.0939200073,0.0876500085,-1.43999481,4039.6001,0,0,18.8389492,2.13934612,3.0241847,2.27923656
11001,1,0.570300043,3.23200011,7.78499985,8,0.716000021,-18.3999977,-14.9399948,0.00662000012,0.0967700034,0.0853700042,-48.5999985,2221.7002,0,0,13.6868782,8.18970776,3.02661729,0.41175887
11001,1,0.496699989,3.90799999,6.53000021,8,2.71600008,-71.8399963,-56.7000008,0.016644001,0.0412900001,0.0620949976,11.8800049,2878.30005,0,0,27.9793777,4.16711569,2.52329111,3.54816198
11001,1,0.703700006,3.75200009,7.35500002,8,1.05200005,-15.0399933,-41.0399971,0.026556002,0.0939200073,0.0876500085,-1.43999481,4039.6001,0,0,34.124649,17.0585175,5.33193827,1.95569861
11001,1,1.52939999,3.71200013,7.55749989,8,2.53600001,-15.3600006,51.6600037,0.0181280021,0.0636150017,0.023620002,54.840004,1604.30005,0,0,36.6067314,1.76216865,2.36157441,5.41383076
11001,1,2.23780012,3.27200007,7.20749998,8,2.90400004,67.5200043,-37.7999954,0.018744003,0.0999050066,0.0718800053,-59.6399994,2138.3999,-5,-5,6.49815845,1.41655993,1.75532615,0.554378748
11001,1,1.37300014,4.79199982,6.22249985,8,0.880000055,11.0400009,67.6800079,0.00813200045,0.0439500026,0.0465149991,44.0400085,2118.80029,0,0,178.127487,1.75324261,2.04704642,29.054533
11001,1,1.52939999,3.71200013,7.57250023,8,3.59600019,-17.7599945,77.7600098,0.0298040025,0.0361599997,0.0524999984,21.9600067,1751.30005,0,0,21.8139973,11.7677813,2.42241096,1.27063429
11001,1,2.03310013,3.13600016,6.48250008,8,0.936000049,-15.3600006,-37.7999954,0.018744003,0.0999050066,0.0718800053,-59.6399994,2138.3999,-7,-5,4.48569298,1.29812706,1.83382618,0.225623265
11001,1,0.800300002,5.20800018,7.36750031,8,1.12,-52.3199997,88.0200043,0.00522000017,0.0825200081,0.0867950097,15.3600006,3779.90015,0,0,329.324554,1.78599107,2.34326911,54.1992188
11001,1,0.977400064,3.86400008,7.44999981,8,3.42400026,-55.0400009,-54,0.0180720016,0.0518350005,0.0278000012,42.1200027,4524.7002,0,0,19.7369385,11.239481,4.83756638,0.609981716
11001,1,1.19360006,5.96400023,6.2750001,8,2.1960001,61.6000061,67.3200073,0.0285720024,0.0958200023,0.0774850026,-8.87999725,2741.1001,0,0,55.1322823,1.30454528,2.67802453,8.52495193
11001,1,1.28560007,3.74000025,5.86500025,8,3.2440002,74.8800049,26.2800064,0.00732000079,0.0530700013,0.0613350049,45.840004,3809.30005,0,0,53.1841431,2.65870261,2.62663746,7.98313379
